city,state,soil_type,N,P,K,temperature,humidity,ph,rainfall,season,month,label
madurai,tamil_nadu,loamy,67,37,42,23.8,52.6,6.7,156.4,Annual,1,sugarcane
chennai,tamil_nadu,clay,61,37,53,26.8,73.1,6.8,201.7,Kharif,6,groundnut
kochi,kerala,loamy,83,47,40,29.3,77.4,5.9,269.5,Annual,4,pepper
pune,maharashtra,black,55,42,41,21.8,47.0,6.3,66.1,Kharif,6,sorghum
jaipur,rajasthan,sandy,49,17,37,26.4,33.9,8.3,56.2,Kharif,6,pulses
pune,maharashtra,black,52,51,49,29.7,69.5,6.9,181.3,Rabi,11,gram
siliguri,west_bengal,laterite,75,36,40,19.8,65.2,5.4,337.3,Kharif,9,rice
madurai,tamil_nadu,loamy,90,35,52,31.5,54.1,6.4,218.5,Annual,10,sugarcane
madurai,tamil_nadu,loamy,93,40,61,32.0,51.4,6.8,192.7,Kharif,7,groundnut
siliguri,west_bengal,laterite,61,43,57,19.1,76.4,5.6,332.9,Kharif,6,rice
jaipur,rajasthan,sandy,33,22,43,32.4,22.9,7.9,109.8,Kharif,8,bajra
siliguri,west_bengal,laterite,59,41,50,16.2,61.2,5.2,275.5,Kharif,7,rice
thiruvananthapuram,kerala,laterite,88,32,47,27.1,87.9,5.8,393.6,Kharif,9,tapioca
lucknow,uttar_pradesh,alluvial,94,54,43,30.0,53.6,6.4,90.0,Kharif,6,rice
mahendragarh,haryana,sandy_loam,57,18,47,25.6,53.7,7.5,45.9,Kharif,7,bajra
kolkata,west_bengal,alluvial,79,40,55,20.3,87.9,6.9,269.7,Kharif,6,rice
nagpur,maharashtra,black,75,63,45,19.5,49.4,6.1,166.5,Kharif,6,cotton
thiruvananthapuram,kerala,laterite,80,47,40,26.1,85.7,5.6,226.6,Kharif,7,rice
jodhpur,rajasthan,sandy,45,31,35,30.2,37.0,8.0,27.4,Kharif,8,millets
ludhiana,punjab,alluvial,107,57,37,23.9,40.2,7.2,58.8,Kharif,6,maize
ludhiana,punjab,alluvial,74,56,37,15.5,54.6,7.0,158.5,Rabi,1,wheat
chennai,tamil_nadu,clay,75,60,70,33.7,60.7,6.1,153.3,Annual,8,banana
